Java Model MCSS (Evan & Shalitha)
Rebellion
Rebellion experiment 14 (Java)
Wed May 23 15:25:39 AEST 2018
min-pxcor,max-pxcor,min-pycor,max-pycor
0,39,0,39
[run number],1,1,1
government-legitimacy,0.18
movement?,true
initial-agent-density,70.0
vision,7.0
max-jail-term,20
visualization, N/A
initial-cop-density, 4.0
[reporter],JAILED,ACTIVE,QUIET,COPS
[final],
[min],
[max],
[mean],
[steps],20000,20000,20000,
,
[all run data],JAILED,ACTIVE,QUIET,COPS
,551,444,125,64
,550,445,125,64
,540,455,125,64
,544,451,125,64
,554,441,125,64
,547,448,125,64
,546,449,125,64
,560,435,125,64
,568,427,125,64
,564,431,125,64
,571,424,125,64
,563,432,125,64
,561,434,125,64
,577,418,125,64
,571,424,125,64
,564,431,125,64
,559,436,125,64
,550,445,125,64
,558,437,125,64
,562,433,125,64
,561,434,125,64
,558,437,125,64
,546,449,125,64
,544,451,125,64
,529,466,125,64
,532,463,125,64
,529,466,125,64
,543,452,125,64
,561,434,125,64
,569,426,125,64
,569,426,125,64
,562,433,125,64
,559,436,125,64
,551,444,125,64
,550,445,125,64
,546,449,125,64
,536,459,125,64
,545,450,125,64
,564,431,125,64
,568,427,125,64
,565,430,125,64
,557,438,125,64
,559,436,125,64
,561,434,125,64
,559,436,125,64
,556,439,125,64
,553,442,125,64
,559,436,125,64
,552,443,125,64
,547,448,125,64
,542,453,125,64
,544,451,125,64
,536,459,125,64
,538,457,125,64
,530,465,125,64
,533,462,125,64
,537,458,125,64
,531,464,125,64
,536,459,125,64
,542,453,125,64
,534,461,125,64
,531,464,125,64
,546,449,125,64
,553,442,125,64
,551,444,125,64
,558,437,125,64
,565,430,125,64
,566,429,125,64
,559,436,125,64
,580,415,125,64
,580,415,125,64
,568,427,125,64
,568,427,125,64
,563,432,125,64
,554,441,125,64
,548,447,125,64
,552,443,125,64
,553,442,125,64
,540,455,125,64
,545,450,125,64
,541,454,125,64
,533,462,125,64
,536,459,125,64
,530,465,125,64
,532,463,125,64
,517,478,125,64
,514,481,125,64
,515,480,125,64
,523,472,125,64
,525,470,125,64
,520,475,125,64
,532,463,125,64
,533,462,125,64
,542,453,125,64
,541,454,125,64
,523,472,125,64
,526,469,125,64
,537,458,125,64
,537,458,125,64
,539,456,125,64
,542,453,125,64
,547,448,125,64
,539,456,125,64
,531,464,125,64
,536,459,125,64
,550,445,125,64
,551,444,125,64
,541,454,125,64
,547,448,125,64
,559,436,125,64
,563,432,125,64
,562,433,125,64
,563,432,125,64
,556,439,125,64
,574,421,125,64
,574,421,125,64
,573,422,125,64
,565,430,125,64
,568,427,125,64
,560,435,125,64
,568,427,125,64
,565,430,125,64
,560,435,125,64
,556,439,125,64
,565,430,125,64
,551,444,125,64
,545,450,125,64
,535,460,125,64
,543,452,125,64
,545,450,125,64
,549,446,125,64
,562,433,125,64
,559,436,125,64
,560,435,125,64
,556,439,125,64
,548,447,125,64
,557,438,125,64
,543,452,125,64
,538,457,125,64
,526,469,125,64
,517,478,125,64
,523,472,125,64
,512,483,125,64
,534,461,125,64
,533,462,125,64
,533,462,125,64
,523,472,125,64
,516,479,125,64
,520,475,125,64
,525,470,125,64
,531,464,125,64
,531,464,125,64
,546,449,125,64
,559,436,125,64
,561,434,125,64
,556,439,125,64
,566,429,125,64
,559,436,125,64
,548,447,125,64
,536,459,125,64
,534,461,125,64
,542,453,125,64
,546,449,125,64
,552,443,125,64
,561,434,125,64
,551,444,125,64
,543,452,125,64
,548,447,125,64
,549,446,125,64
,552,443,125,64
,532,463,125,64
,537,458,125,64
,542,453,125,64
,534,461,125,64
,538,457,125,64
,530,465,125,64
,529,466,125,64
,536,459,125,64
,532,463,125,64
,533,462,125,64
,514,481,125,64
,527,468,125,64
,533,462,125,64
,528,467,125,64
,529,466,125,64
,531,464,125,64
,528,467,125,64
,529,466,125,64
,538,457,125,64
,525,470,125,64
,525,470,125,64
,528,467,125,64
,520,475,125,64
,519,476,125,64
,529,466,125,64
,537,458,125,64
,543,452,125,64
,540,455,125,64
,535,460,125,64
,532,463,125,64
,518,477,125,64
,516,479,125,64
,512,483,125,64
,503,492,125,64
,512,483,125,64
,505,490,125,64
,514,481,125,64
,514,481,125,64
,521,474,125,64
,527,468,125,64
,532,463,125,64
,535,460,125,64
,530,465,125,64
,532,463,125,64
,546,449,125,64
,559,436,125,64
,564,431,125,64
,566,429,125,64
,548,447,125,64
,556,439,125,64
,550,445,125,64
,556,439,125,64
,552,443,125,64
,550,445,125,64
,550,445,125,64
,554,441,125,64
,551,444,125,64
,564,431,125,64
,570,425,125,64
,569,426,125,64
,563,432,125,64
,556,439,125,64
,551,444,125,64
,538,457,125,64
,541,454,125,64
,539,456,125,64
,536,459,125,64
,533,462,125,64
,539,456,125,64
,525,470,125,64
,544,451,125,64
,543,452,125,64
,553,442,125,64
,561,434,125,64
,566,429,125,64
,566,429,125,64
,573,422,125,64
,575,420,125,64
,571,424,125,64
,582,413,125,64
,576,419,125,64
,561,434,125,64
,559,436,125,64
,558,437,125,64
,567,428,125,64
,547,448,125,64
,538,457,125,64
,542,453,125,64
,539,456,125,64
,542,453,125,64
,551,444,125,64
,534,461,125,64
,527,468,125,64
,524,471,125,64
,513,482,125,64
,518,477,125,64
,527,468,125,64
,529,466,125,64
,530,465,125,64
,544,451,125,64
,553,442,125,64
,560,435,125,64
,561,434,125,64
,558,437,125,64
,561,434,125,64
,560,435,125,64
,570,425,125,64
,575,420,125,64
,565,430,125,64
,562,433,125,64
,561,434,125,64
,560,435,125,64
,560,435,125,64
,554,441,125,64
,560,435,125,64
,558,437,125,64
,581,414,125,64
,573,422,125,64
,563,432,125,64
,561,434,125,64
,561,434,125,64
,555,440,125,64
,557,438,125,64
,546,449,125,64
,561,434,125,64
,549,446,125,64
,554,441,125,64
,551,444,125,64
,555,440,125,64
,560,435,125,64
,557,438,125,64
,545,450,125,64
,542,453,125,64
,533,462,125,64
,532,463,125,64
,536,459,125,64
,533,462,125,64
,530,465,125,64
,536,459,125,64
,540,455,125,64
,546,449,125,64
,541,454,125,64
,549,446,125,64
,550,445,125,64
,556,439,125,64
,557,438,125,64
,553,442,125,64
,571,424,125,64
,565,430,125,64
,567,428,125,64
,578,417,125,64
,574,421,125,64
,580,415,125,64
,576,419,125,64
,570,425,125,64
,564,431,125,64
,561,434,125,64
,553,442,125,64
,543,452,125,64
,547,448,125,64
,528,467,125,64
,517,478,125,64
,505,490,125,64
,505,490,125,64
,517,478,125,64
,519,476,125,64
,533,462,125,64
,533,462,125,64
,533,462,125,64
,531,464,125,64
,540,455,125,64
,551,444,125,64
,548,447,125,64
,543,452,125,64
,544,451,125,64
,547,448,125,64
,537,458,125,64
,534,461,125,64
,541,454,125,64
,540,455,125,64
,549,446,125,64
,555,440,125,64
,538,457,125,64
,541,454,125,64
,548,447,125,64
,540,455,125,64
,552,443,125,64
,561,434,125,64
,554,441,125,64
,539,456,125,64
,540,455,125,64
,535,460,125,64
,530,465,125,64
,530,465,125,64
,534,461,125,64
,532,463,125,64
,542,453,125,64
,546,449,125,64
,550,445,125,64
,534,461,125,64
,542,453,125,64
,551,444,125,64
,531,464,125,64
,529,466,125,64
,537,458,125,64
,549,446,125,64
,550,445,125,64
,549,446,125,64
,536,459,125,64
,547,448,125,64
,549,446,125,64
,536,459,125,64
,532,463,125,64
,541,454,125,64
,543,452,125,64
,539,456,125,64
,534,461,125,64
,543,452,125,64
,553,442,125,64
,553,442,125,64
,565,430,125,64
,553,442,125,64
,551,444,125,64
,550,445,125,64
,549,446,125,64
,536,459,125,64
,537,458,125,64
,529,466,125,64
,535,460,125,64
,534,461,125,64
,547,448,125,64
,557,438,125,64
,561,434,125,64
,569,426,125,64
,561,434,125,64
,561,434,125,64
,566,429,125,64
,546,449,125,64
,547,448,125,64
,549,446,125,64
,553,442,125,64
,548,447,125,64
,528,467,125,64
,522,473,125,64
,526,469,125,64
,527,468,125,64
,533,462,125,64
,546,449,125,64
,548,447,125,64
,553,442,125,64
,558,437,125,64
,565,430,125,64
,553,442,125,64
,553,442,125,64
,560,435,125,64
,561,434,125,64
,559,436,125,64
,567,428,125,64
,565,430,125,64
,547,448,125,64
,549,446,125,64
,533,462,125,64
,542,453,125,64
,546,449,125,64
,552,443,125,64
,537,458,125,64
,549,446,125,64
,561,434,125,64
,557,438,125,64
,547,448,125,64
,543,452,125,64
,547,448,125,64
,541,454,125,64
,534,461,125,64
,529,466,125,64
,546,449,125,64
,545,450,125,64
,548,447,125,64
,551,444,125,64
,553,442,125,64
,549,446,125,64
,557,438,125,64
,563,432,125,64
,560,435,125,64
,566,429,125,64
,560,435,125,64
,564,431,125,64
,565,430,125,64
,560,435,125,64
,555,440,125,64
,548,447,125,64
,542,453,125,64
,552,443,125,64
,545,450,125,64
,542,453,125,64
,548,447,125,64
,541,454,125,64
,542,453,125,64
,544,451,125,64
,543,452,125,64
,543,452,125,64
,559,436,125,64
,562,433,125,64
,554,441,125,64
,558,437,125,64
,558,437,125,64
,565,430,125,64
,567,428,125,64
,553,442,125,64
,542,453,125,64
,547,448,125,64
,555,440,125,64
,555,440,125,64
,558,437,125,64
,548,447,125,64
,551,444,125,64
,548,447,125,64
,552,443,125,64
,541,454,125,64
,544,451,125,64
,542,453,125,64
,538,457,125,64
,538,457,125,64
,543,452,125,64
,542,453,125,64
,543,452,125,64
,530,465,125,64
,523,472,125,64
,532,463,125,64
,528,467,125,64
,536,459,125,64
,530,465,125,64
,537,458,125,64
,535,460,125,64
,522,473,125,64
,517,478,125,64
,526,469,125,64
,525,470,125,64
,524,471,125,64
,544,451,125,64
,541,454,125,64
,533,462,125,64
,529,466,125,64
,522,473,125,64
,527,468,125,64
,510,485,125,64
,514,481,125,64
,524,471,125,64
,532,463,125,64
,531,464,125,64
,539,456,125,64
,542,453,125,64
,545,450,125,64
,556,439,125,64
,559,436,125,64
,542,453,125,64
,541,454,125,64
,539,456,125,64
,552,443,125,64
,555,440,125,64
,562,433,125,64
,537,458,125,64
,539,456,125,64
,542,453,125,64
,551,444,125,64
,547,448,125,64
,552,443,125,64
,553,442,125,64
,560,435,125,64
,551,444,125,64
,554,441,125,64
,554,441,125,64
,557,438,125,64
,547,448,125,64
,555,440,125,64
,558,437,125,64
,571,424,125,64
,565,430,125,64
,560,435,125,64
,553,442,125,64
,539,456,125,64
,545,450,125,64
,551,444,125,64
,544,451,125,64
,552,443,125,64
,550,445,125,64
,546,449,125,64
,558,437,125,64
,553,442,125,64
,551,444,125,64
,547,448,125,64
,556,439,125,64
,553,442,125,64
,556,439,125,64
,557,438,125,64
,545,450,125,64
,537,458,125,64
,539,456,125,64
,530,465,125,64
,516,479,125,64
,507,488,125,64
,518,477,125,64
,527,468,125,64
,541,454,125,64
,542,453,125,64
,538,457,125,64
,552,443,125,64
,557,438,125,64
,559,436,125,64
,561,434,125,64
,570,425,125,64
,577,418,125,64
,576,419,125,64
,570,425,125,64
,580,415,125,64
,566,429,125,64
,580,415,125,64
,573,422,125,64
,579,416,125,64
,570,425,125,64
,576,419,125,64
,570,425,125,64
,554,441,125,64
,549,446,125,64
,552,443,125,64
,540,455,125,64
,537,458,125,64
,544,451,125,64
,548,447,125,64
,553,442,125,64
,548,447,125,64
,555,440,125,64
,560,435,125,64
,550,445,125,64
,549,446,125,64
,544,451,125,64
,549,446,125,64
,542,453,125,64
,556,439,125,64
,546,449,125,64
,548,447,125,64
,561,434,125,64
,561,434,125,64
,562,433,125,64
,558,437,125,64
,557,438,125,64
,559,436,125,64
,563,432,125,64
,547,448,125,64
,556,439,125,64
,558,437,125,64
,545,450,125,64
,551,444,125,64
,553,442,125,64
,541,454,125,64
,539,456,125,64
,547,448,125,64
,564,431,125,64
,563,432,125,64
,563,432,125,64
,567,428,125,64
,549,446,125,64
,558,437,125,64
,566,429,125,64
,569,426,125,64
,564,431,125,64
,565,430,125,64
,550,445,125,64
,548,447,125,64
,555,440,125,64
,566,429,125,64
,567,428,125,64
,559,436,125,64
,555,440,125,64
,550,445,125,64
,545,450,125,64
,550,445,125,64
,540,455,125,64
,541,454,125,64
,540,455,125,64
,546,449,125,64
,544,451,125,64
,546,449,125,64
,544,451,125,64
,549,446,125,64
,550,445,125,64
,555,440,125,64
,561,434,125,64
,564,431,125,64
,568,427,125,64
,555,440,125,64
,549,446,125,64
,552,443,125,64
,547,448,125,64
,540,455,125,64
,543,452,125,64
,545,450,125,64
,550,445,125,64
,541,454,125,64
,533,462,125,64
,548,447,125,64
,546,449,125,64
,550,445,125,64
,546,449,125,64
,547,448,125,64
,538,457,125,64
,532,463,125,64
,528,467,125,64
,537,458,125,64
,526,469,125,64
,530,465,125,64
,528,467,125,64
,536,459,125,64
,524,471,125,64
,530,465,125,64
,537,458,125,64
,534,461,125,64
,537,458,125,64
,543,452,125,64
,541,454,125,64
,541,454,125,64
,547,448,125,64
,537,458,125,64
,550,445,125,64
,544,451,125,64
,551,444,125,64
,566,429,125,64
,583,412,125,64
,581,414,125,64
,562,433,125,64
,552,443,125,64
,543,452,125,64
,547,448,125,64
,555,440,125,64
,548,447,125,64
,544,451,125,64
,531,464,125,64
,538,457,125,64
,544,451,125,64
,564,431,125,64
,565,430,125,64
,564,431,125,64
,558,437,125,64
,555,440,125,64
,558,437,125,64
,563,432,125,64
,572,423,125,64
,558,437,125,64
,551,444,125,64
,546,449,125,64
,540,455,125,64
,532,463,125,64
,540,455,125,64
,541,454,125,64
,543,452,125,64
,533,462,125,64
,539,456,125,64
,537,458,125,64
,536,459,125,64
,541,454,125,64
,545,450,125,64
,533,462,125,64
,532,463,125,64
,544,451,125,64
,541,454,125,64
,530,465,125,64
,535,460,125,64
,543,452,125,64
,547,448,125,64
,546,449,125,64
,554,441,125,64
,548,447,125,64
,560,435,125,64
,556,439,125,64
,561,434,125,64
,563,432,125,64
,570,425,125,64
,572,423,125,64
,574,421,125,64
,583,412,125,64
,576,419,125,64
,565,430,125,64
,574,421,125,64
,580,415,125,64
,572,423,125,64
,546,449,125,64
,543,452,125,64
,544,451,125,64
,544,451,125,64
,541,454,125,64
,536,459,125,64
,538,457,125,64
,537,458,125,64
,538,457,125,64
,539,456,125,64
,533,462,125,64
,523,472,125,64
,520,475,125,64
,525,470,125,64
,522,473,125,64
,528,467,125,64
,529,466,125,64
,532,463,125,64
,524,471,125,64
,523,472,125,64
,532,463,125,64
,542,453,125,64
,529,466,125,64
,525,470,125,64
,521,474,125,64
,517,478,125,64
,509,486,125,64
,518,477,125,64
,526,469,125,64
,533,462,125,64
,530,465,125,64
,539,456,125,64
,544,451,125,64
,562,433,125,64
,573,422,125,64
,565,430,125,64
,547,448,125,64
,544,451,125,64
,545,450,125,64
,558,437,125,64
,551,444,125,64
,557,438,125,64
,556,439,125,64
,558,437,125,64
,564,431,125,64
,571,424,125,64
,548,447,125,64
,552,443,125,64
,543,452,125,64
,555,440,125,64
,562,433,125,64
,557,438,125,64
,561,434,125,64
,557,438,125,64
,559,436,125,64
,563,432,125,64
,548,447,125,64
,559,436,125,64
,561,434,125,64
,560,435,125,64
,559,436,125,64
,560,435,125,64
,568,427,125,64
,566,429,125,64
,564,431,125,64
,570,425,125,64
,559,436,125,64
,567,428,125,64
,566,429,125,64
,563,432,125,64
,555,440,125,64
,549,446,125,64
,544,451,125,64
,545,450,125,64
,536,459,125,64
,521,474,125,64
,528,467,125,64
,525,470,125,64
,519,476,125,64
,517,478,125,64
,529,466,125,64
,538,457,125,64
,540,455,125,64
,550,445,125,64
,555,440,125,64
,550,445,125,64
,549,446,125,64
,547,448,125,64
,547,448,125,64
,560,435,125,64
,555,440,125,64
,548,447,125,64
,545,450,125,64
,550,445,125,64
,542,453,125,64
,546,449,125,64
,532,463,125,64
,542,453,125,64
,553,442,125,64
,554,441,125,64
,558,437,125,64
,555,440,125,64
,554,441,125,64
,553,442,125,64
,551,444,125,64
,553,442,125,64
,555,440,125,64
,555,440,125,64
,560,435,125,64
,544,451,125,64
,550,445,125,64
,565,430,125,64
,562,433,125,64
,566,429,125,64
,571,424,125,64
,571,424,125,64
,573,422,125,64
,567,428,125,64
,556,439,125,64
,563,432,125,64
,559,436,125,64
,564,431,125,64
,557,438,125,64
,556,439,125,64
,547,448,125,64
,545,450,125,64
,557,438,125,64
,564,431,125,64
,556,439,125,64
,554,441,125,64
,559,436,125,64
,550,445,125,64
,544,451,125,64
,537,458,125,64
,544,451,125,64
,539,456,125,64
,544,451,125,64
,538,457,125,64
,534,461,125,64
,545,450,125,64
,543,452,125,64
,557,438,125,64
,539,456,125,64
,539,456,125,64
,527,468,125,64
,521,474,125,64
,532,463,125,64
,520,475,125,64
,521,474,125,64
,524,471,125,64
,529,466,125,64
,521,474,125,64
,523,472,125,64
,535,460,125,64
,532,463,125,64
,531,464,125,64
,526,469,125,64
,524,471,125,64
,525,470,125,64
,524,471,125,64
,521,474,125,64
,523,472,125,64
,520,475,125,64
,506,489,125,64
,515,480,125,64
,510,485,125,64
,522,473,125,64
,527,468,125,64
,517,478,125,64
,518,477,125,64
,524,471,125,64
,532,463,125,64
,532,463,125,64
,526,469,125,64
,538,457,125,64
,544,451,125,64
,552,443,125,64
,550,445,125,64
,551,444,125,64
,558,437,125,64
,561,434,125,64
,570,425,125,64
,564,431,125,64
,560,435,125,64
,561,434,125,64
,558,437,125,64
,552,443,125,64
,546,449,125,64
,544,451,125,64
,555,440,125,64
,553,442,125,64
,555,440,125,64
,551,444,125,64
,544,451,125,64
,553,442,125,64
,563,432,125,64
,552,443,125,64
,548,447,125,64
,538,457,125,64
,541,454,125,64
,530,465,125,64
,526,469,125,64
,530,465,125,64
,531,464,125,64
,532,463,125,64
,536,459,125,64
,541,454,125,64
,539,456,125,64
,544,451,125,64
,537,458,125,64
,540,455,125,64
,541,454,125,64
,550,445,125,64
,557,438,125,64
,548,447,125,64
,541,454,125,64
,545,450,125,64
,548,447,125,64
,555,440,125,64
,545,450,125,64
,538,457,125,64
,540,455,125,64
,543,452,125,64
,539,456,125,64
,535,460,125,64
,523,472,125,64
,527,468,125,64
,539,456,125,64
,541,454,125,64
,533,462,125,64
,543,452,125,64
,545,450,125,64
,543,452,125,64
,544,451,125,64
,546,449,125,64
,542,453,125,64
,549,446,125,64
,551,444,125,64
,544,451,125,64
,540,455,125,64
,529,466,125,64
,532,463,125,64
,538,457,125,64
,521,474,125,64
,523,472,125,64
,525,470,125,64
,512,483,125,64
,515,480,125,64
,521,474,125,64
,525,470,125,64
,534,461,125,64
,534,461,125,64
,539,456,125,64
,545,450,125,64
,539,456,125,64
,539,456,125,64
,547,448,125,64
,538,457,125,64
,531,464,125,64
,539,456,125,64
,548,447,125,64
,551,444,125,64
,554,441,125,64
,557,438,125,64
,561,434,125,64
,559,436,125,64
,561,434,125,64
,549,446,125,64
,549,446,125,64
,557,438,125,64
,550,445,125,64
,557,438,125,64
,557,438,125,64
,551,444,125,64
,541,454,125,64
,545,450,125,64
,546,449,125,64
,540,455,125,64
,537,458,125,64
,531,464,125,64
,526,469,125,64
,529,466,125,64
,527,468,125,64
,520,475,125,64
,515,480,125,64
,508,487,125,64
,511,484,125,64
,518,477,125,64
,535,460,125,64
,528,467,125,64
,522,473,125,64
,539,456,125,64
,541,454,125,64
,538,457,125,64
,538,457,125,64
,537,458,125,64
,539,456,125,64
,557,438,125,64
,550,445,125,64
,557,438,125,64
,556,439,125,64
,562,433,125,64
,570,425,125,64
,555,440,125,64
,551,444,125,64
,567,428,125,64
,562,433,125,64
,564,431,125,64
,555,440,125,64
,564,431,125,64
,560,435,125,64
,572,423,125,64
,569,426,125,64
,571,424,125,64
,560,435,125,64
,542,453,125,64
,540,455,125,64
,537,458,125,64
,535,460,125,64
,541,454,125,64
,556,439,125,64
,550,445,125,64
,550,445,125,64
,549,446,125,64
,546,449,125,64
,549,446,125,64
,550,445,125,64
,558,437,125,64
,564,431,125,64
,569,426,125,64
,559,436,125,64
,564,431,125,64
,561,434,125,64
,572,423,125,64
,559,436,125,64
,556,439,125,64
,548,447,125,64
,547,448,125,64
,545,450,125,64
,554,441,125,64
,545,450,125,64
,542,453,125,64
,541,454,125,64
,539,456,125,64
,541,454,125,64
,549,446,125,64
,556,439,125,64
,544,451,125,64
,534,461,125,64
,533,462,125,64
,548,447,125,64
,551,444,125,64
,539,456,125,64
,541,454,125,64
,535,460,125,64
,531,464,125,64
,550,445,125,64
,551,444,125,64
,550,445,125,64
,549,446,125,64
,541,454,125,64
,532,463,125,64
,534,461,125,64
,536,459,125,64
,540,455,125,64
,525,470,125,64
,532,463,125,64
,542,453,125,64
,542,453,125,64
,544,451,125,64
,537,458,125,64
,538,457,125,64
,541,454,125,64
,556,439,125,64
,554,441,125,64
,557,438,125,64
,567,428,125,64
,569,426,125,64
,562,433,125,64
,564,431,125,64
,568,427,125,64
,567,428,125,64
,572,423,125,64
,575,420,125,64
,540,455,125,64
,544,451,125,64
,547,448,125,64
,553,442,125,64
,550,445,125,64
,558,437,125,64
,541,454,125,64
,545,450,125,64
,552,443,125,64
,554,441,125,64
,554,441,125,64
,552,443,125,64
,556,439,125,64
,560,435,125,64
,561,434,125,64
,556,439,125,64
,547,448,125,64
,555,440,125,64
,541,454,125,64
,544,451,125,64
,536,459,125,64
,537,458,125,64
,535,460,125,64
,529,466,125,64
,519,476,125,64
,519,476,125,64
,536,459,125,64
,544,451,125,64
,554,441,125,64
,545,450,125,64
,550,445,125,64
,546,449,125,64
,550,445,125,64
,565,430,125,64
,572,423,125,64
,586,409,125,64
,582,413,125,64
,570,425,125,64
,559,436,125,64
,549,446,125,64
,545,450,125,64
,540,455,125,64
,546,449,125,64
,549,446,125,64
,541,454,125,64
,554,441,125,64
,547,448,125,64
,546,449,125,64
,540,455,125,64
,546,449,125,64
,544,451,125,64
,558,437,125,64
,568,427,125,64
,570,425,125,64
,566,429,125,64
,553,442,125,64
,555,440,125,64
,559,436,125,64
,552,443,125,64
,545,450,125,64
,541,454,125,64
,537,458,125,64
,536,459,125,64
,541,454,125,64
,527,468,125,64
,531,464,125,64
,532,463,125,64
,545,450,125,64
,541,454,125,64
,523,472,125,64
,529,466,125,64
,524,471,125,64
,532,463,125,64
,534,461,125,64
,526,469,125,64
,529,466,125,64
,541,454,125,64
,537,458,125,64
,540,455,125,64
,553,442,125,64
,550,445,125,64
,548,447,125,64
,561,434,125,64
,556,439,125,64
,544,451,125,64
,552,443,125,64
,551,444,125,64
,555,440,125,64
,546,449,125,64
,534,461,125,64
,541,454,125,64
,533,462,125,64
,531,464,125,64
,536,459,125,64
,531,464,125,64
,535,460,125,64
,541,454,125,64
,538,457,125,64
,538,457,125,64
,531,464,125,64
,537,458,125,64
,553,442,125,64
,553,442,125,64
,548,447,125,64
,543,452,125,64
,547,448,125,64
,546,449,125,64
,539,456,125,64
,536,459,125,64
,538,457,125,64
,534,461,125,64
,547,448,125,64
,539,456,125,64
,531,464,125,64
,545,450,125,64
,542,453,125,64
,530,465,125,64
,534,461,125,64
,545,450,125,64
,550,445,125,64
,548,447,125,64
,549,446,125,64
,551,444,125,64
,554,441,125,64
,542,453,125,64
,552,443,125,64
,558,437,125,64
,557,438,125,64
,549,446,125,64
,553,442,125,64
,560,435,125,64
,574,421,125,64
,564,431,125,64
,560,435,125,64
,565,430,125,64
,554,441,125,64
,547,448,125,64
,544,451,125,64
,541,454,125,64
,541,454,125,64
,550,445,125,64
,543,452,125,64
,536,459,125,64
,538,457,125,64
,539,456,125,64
,531,464,125,64
,524,471,125,64
,523,472,125,64
